Team,FirstHalfChampionProbability,SecondHalfChampionProbability,AbsoluteDifference
Argentina,29.08,30.98,1.9000000000000021
England,3.26,2.64,0.6199999999999997
Brazil,6.4,5.88,0.5200000000000005
France,5.42,5.86,0.4400000000000004
Netherlands,2.22,1.78,0.44000000000000017
Spain,18.16,17.8,0.35999999999999943
Colombia,4.32,4.66,0.33999999999999986
Algeria,0.72,0.42,0.3
Germany,2.66,2.4,0.26000000000000023
Senegal,0.46,0.24,0.22000000000000003
Ecuador,4.0,4.2,0.20000000000000018
Morocco,2.9,3.1,0.20000000000000018
Japan,2.24,2.06,0.18000000000000016
Paraguay,0.66,0.48,0.18000000000000005
Switzerland,0.76,0.6,0.16000000000000003
Uruguay,0.84,1.0,0.16000000000000003
Belgium,2.44,2.58,0.14000000000000012
Australia,0.14,0.24,0.09999999999999998
Mexico,3.12,3.04,0.08000000000000007
Croatia,0.52,0.44,0.08000000000000002
United States,0.08,0.16,0.08
Türkiye,0.86,0.78,0.07999999999999996
Portugal,5.42,5.48,0.0600000000000005
Egypt,0.24,0.18,0.06
Canada,0.78,0.74,0.040000000000000036
Côte d'Ivoire,0.16,0.12,0.04000000000000001
Uzbekistan,0.04,0.08,0.04
Iraq,0.04,0.0,0.04
Korea Republic,0.32,0.34,0.020000000000000018
Czechia,0.02,0.04,0.02
New Zealand,0.02,0.0,0.02
Panama,0.02,0.04,0.02
Haiti,0.02,0.0,0.02
Scotland,0.06,0.04,0.019999999999999997
Curaçao,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0
Austria,0.32,0.32,0.0
Congo DR,0.04,0.04,0.0
Bosnia and Herzegovina,0.0,0.0,0.0
IR Iran,0.82,0.82,0.0
Norway,0.42,0.42,0.0
Jordan,0.0,0.0,0.0
Ghana,0.0,0.0,0.0
Qatar,0.0,0.0,0.0
South Africa,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0
Sweden,0.0,0.0,0.0
