Champion,RunnerUp,Count,Probability
Argentina,Spain,621,6.21
Spain,Argentina,449,4.49
Argentina,France,258,2.58
Argentina,Brazil,189,1.89
Argentina,Portugal,177,1.77
Argentina,Ecuador,173,1.73
Argentina,Belgium,162,1.62
Spain,Portugal,148,1.48
Argentina,Colombia,148,1.48
Argentina,Germany,133,1.33
Spain,Brazil,121,1.21
Argentina,Japan,114,1.14
Argentina,Morocco,107,1.07
Spain,Mexico,101,1.01
Spain,Colombia,99,0.99
Argentina,Netherlands,91,0.91
Argentina,England,89,0.89
Argentina,Mexico,89,0.89
Spain,England,88,0.88
Brazil,Argentina,84,0.84
Spain,France,83,0.83
France,Argentina,81,0.81
Argentina,Türkiye,77,0.77
Portugal,Spain,73,0.73
Spain,Morocco,73,0.73
Argentina,IR Iran,72,0.72
Argentina,Algeria,69,0.69
Spain,Germany,69,0.69
Spain,Uruguay,66,0.66
Spain,Ecuador,66,0.66
Portugal,Argentina,65,0.65
Brazil,Spain,64,0.64
Ecuador,Argentina,64,0.64
Argentina,Switzerland,55,0.55
Spain,Netherlands,54,0.54
Spain,Belgium,54,0.54
Colombia,Spain,53,0.53
Spain,Japan,51,0.51
France,Brazil,50,0.5
Colombia,Argentina,49,0.49
Mexico,Spain,47,0.47
Argentina,Canada,46,0.46
France,Mexico,44,0.44
Colombia,Portugal,44,0.44
France,Spain,44,0.44
Spain,Canada,43,0.43
France,Portugal,43,0.43
Morocco,Argentina,43,0.43
Brazil,France,40,0.4
Brazil,Morocco,39,0.39
Argentina,Korea Republic,39,0.39
England,Spain,39,0.39
Brazil,Colombia,38,0.38
Portugal,France,38,0.38
Argentina,Croatia,38,0.38
Portugal,Colombia,37,0.37
Argentina,Uruguay,36,0.36
Brazil,Ecuador,36,0.36
Ecuador,Brazil,35,0.35
Colombia,Brazil,34,0.34
Argentina,Austria,33,0.33
Ecuador,Portugal,33,0.33
Ecuador,Germany,32,0.32
Germany,Argentina,32,0.32
Portugal,Ecuador,31,0.31
Argentina,Paraguay,31,0.31
Portugal,Mexico,31,0.31
Colombia,France,30,0.3
Mexico,France,30,0.3
Spain,Switzerland,30,0.3
Brazil,Portugal,30,0.3
Japan,Argentina,30,0.3
Brazil,Mexico,29,0.29
Portugal,Brazil,29,0.29
France,Ecuador,28,0.28
France,Colombia,28,0.28
Argentina,Norway,28,0.28
Spain,Croatia,27,0.27
France,Morocco,27,0.27
Ecuador,Spain,27,0.27
Spain,IR Iran,27,0.27
Brazil,Japan,27,0.27
Portugal,Germany,27,0.27
England,Argentina,26,0.26
Ecuador,England,26,0.26
Belgium,Argentina,25,0.25
France,Belgium,25,0.25
Argentina,Senegal,24,0.24
England,Ecuador,24,0.24
Brazil,Germany,24,0.24
Portugal,Japan,23,0.23
Ecuador,France,23,0.23
England,Portugal,23,0.23
Brazil,England,23,0.23
Germany,Brazil,22,0.22
Morocco,Brazil,22,0.22
Germany,Ecuador,22,0.22
Morocco,Ecuador,22,0.22
Morocco,Spain,22,0.22
Japan,Spain,22,0.22
Brazil,Netherlands,22,0.22
Portugal,Belgium,21,0.21
Spain,Türkiye,21,0.21
France,England,21,0.21
Belgium,Mexico,21,0.21
Argentina,Egypt,21,0.21
Colombia,Mexico,21,0.21
Germany,France,20,0.2
England,France,20,0.2
Mexico,Germany,20,0.2
Argentina,Australia,20,0.2
Ecuador,Colombia,20,0.2
Ecuador,Mexico,20,0.2
Colombia,Morocco,20,0.2
Belgium,Portugal,20,0.2
Colombia,Ecuador,19,0.19
Mexico,Brazil,19,0.19
Japan,Brazil,19,0.19
Portugal,England,19,0.19
Mexico,Argentina,19,0.19
Brazil,Belgium,19,0.19
France,Uruguay,19,0.19
Portugal,Switzerland,19,0.19
France,Japan,19,0.19
Morocco,England,18,0.18
Portugal,Morocco,18,0.18
Argentina,United States,18,0.18
Germany,Spain,18,0.18
Colombia,Netherlands,18,0.18
Morocco,Belgium,18,0.18
Morocco,Colombia,18,0.18
Brazil,IR Iran,18,0.18
Netherlands,Argentina,18,0.18
Ecuador,Belgium,17,0.17
Germany,Colombia,17,0.17
France,Netherlands,17,0.17
Morocco,France,17,0.17
Netherlands,Spain,17,0.17
England,Belgium,16,0.16
Ecuador,Japan,16,0.16
Spain,Algeria,16,0.16
Mexico,Portugal,16,0.16
England,Netherlands,16,0.16
Spain,Norway,15,0.15
Japan,Portugal,15,0.15
Colombia,England,15,0.15
Belgium,Brazil,15,0.15
Colombia,Belgium,15,0.15
Brazil,Canada,15,0.15
Uruguay,Spain,15,0.15
Colombia,Germany,15,0.15
Belgium,France,15,0.15
Netherlands,Brazil,15,0.15
Morocco,Portugal,14,0.14
Morocco,Japan,14,0.14
Belgium,Spain,14,0.14
Spain,Paraguay,14,0.14
Netherlands,Japan,14,0.14
Morocco,Mexico,14,0.14
France,Germany,14,0.14
Germany,England,14,0.14
Brazil,Algeria,14,0.14
Mexico,Belgium,14,0.14
Colombia,IR Iran,14,0.14
Türkiye,Argentina,13,0.13
Netherlands,France,13,0.13
Spain,Senegal,13,0.13
Belgium,Germany,13,0.13
Brazil,Switzerland,13,0.13
Portugal,Algeria,13,0.13
Colombia,Japan,13,0.13
Japan,England,13,0.13
Ecuador,Netherlands,13,0.13
Germany,Portugal,13,0.13
Netherlands,England,13,0.13
Mexico,Colombia,13,0.13
Germany,Mexico,13,0.13
Belgium,Colombia,13,0.13
Japan,Ecuador,12,0.12
Morocco,Germany,12,0.12
Belgium,Ecuador,12,0.12
Mexico,Ecuador,12,0.12
England,Brazil,12,0.12
Netherlands,Portugal,12,0.12
Mexico,Morocco,12,0.12
Portugal,Netherlands,12,0.12
Morocco,Netherlands,12,0.12
Portugal,Türkiye,12,0.12
Portugal,Canada,12,0.12
Japan,Morocco,12,0.12
Netherlands,Mexico,12,0.12
Netherlands,Belgium,12,0.12
Germany,Morocco,12,0.12
Ecuador,Canada,12,0.12
England,Colombia,12,0.12
Ecuador,Morocco,12,0.12
Mexico,Japan,12,0.12
England,Mexico,11,0.11
Brazil,Uruguay,11,0.11
Netherlands,Ecuador,11,0.11
Netherlands,Germany,11,0.11
France,Senegal,11,0.11
Japan,Mexico,11,0.11
Germany,Netherlands,11,0.11
France,Türkiye,11,0.11
Colombia,Algeria,11,0.11
Brazil,Croatia,11,0.11
Algeria,Argentina,11,0.11
Japan,Netherlands,11,0.11
Spain,Austria,11,0.11
Spain,Korea Republic,11,0.11
England,Germany,11,0.11
Türkiye,France,10,0.1
Colombia,Türkiye,10,0.1
Germany,Canada,10,0.1
Spain,Australia,10,0.1
Switzerland,Argentina,10,0.1
Belgium,IR Iran,10,0.1
Belgium,Morocco,10,0.1
France,Austria,10,0.1
France,Switzerland,10,0.1
Portugal,IR Iran,10,0.1
Belgium,England,9,0.09
Spain,Egypt,9,0.09
Belgium,Netherlands,9,0.09
Ecuador,Switzerland,9,0.09
Portugal,Croatia,9,0.09
Mexico,Canada,9,0.09
Morocco,Switzerland,9,0.09
Brazil,Türkiye,9,0.09
Mexico,Türkiye,9,0.09
Argentina,Czechia,9,0.09
England,Algeria,9,0.09
Ecuador,Algeria,9,0.09
IR Iran,Argentina,9,0.09
Argentina,Côte d'Ivoire,9,0.09
Spain,United States,8,0.08
Canada,France,8,0.08
England,Morocco,8,0.08
Uruguay,Argentina,8,0.08
Mexico,Netherlands,8,0.08
England,IR Iran,8,0.08
Canada,Colombia,8,0.08
France,Croatia,8,0.08
Paraguay,Argentina,8,0.08
Japan,Belgium,8,0.08
France,Canada,8,0.08
Spain,Côte d'Ivoire,8,0.08
Portugal,Uruguay,8,0.08
Uruguay,Brazil,8,0.08
IR Iran,France,7,0.07
England,Canada,7,0.07
Croatia,Argentina,7,0.07
Japan,Colombia,7,0.07
Belgium,Uruguay,7,0.07
Brazil,Senegal,7,0.07
Japan,France,7,0.07
Algeria,Brazil,7,0.07
Mexico,IR Iran,7,0.07
Colombia,United States,7,0.07
