TeamA,TeamB,FinalCount,FinalMatchupProbability
Argentina,Spain,1070,10.7
Argentina,France,339,3.39
Argentina,Brazil,273,2.73
Argentina,Portugal,242,2.42
Argentina,Ecuador,237,2.37
Portugal,Spain,221,2.21
Argentina,Colombia,197,1.97
Argentina,Belgium,187,1.87
Brazil,Spain,185,1.85
Argentina,Germany,165,1.65
Colombia,Spain,152,1.52
Argentina,Morocco,150,1.5
Mexico,Spain,148,1.48
Argentina,Japan,144,1.44
France,Spain,127,1.27
England,Spain,127,1.27
Argentina,England,115,1.15
Argentina,Netherlands,109,1.09
Argentina,Mexico,108,1.08
Morocco,Spain,95,0.95
Ecuador,Spain,93,0.93
Argentina,Türkiye,90,0.9
Brazil,France,90,0.9
Germany,Spain,87,0.87
Colombia,Portugal,81,0.81
France,Portugal,81,0.81
Spain,Uruguay,81,0.81
Argentina,IR Iran,81,0.81
Algeria,Argentina,80,0.8
France,Mexico,74,0.74
Japan,Spain,73,0.73
Brazil,Colombia,72,0.72
Brazil,Ecuador,71,0.71
Netherlands,Spain,71,0.71
Belgium,Spain,68,0.68
Argentina,Switzerland,65,0.65
Ecuador,Portugal,64,0.64
Brazil,Morocco,61,0.61
Brazil,Portugal,59,0.59
Colombia,France,58,0.58
Ecuador,Germany,54,0.54
Argentina,Canada,52,0.52
Ecuador,France,51,0.51
Canada,Spain,50,0.5
Ecuador,England,50,0.5
Brazil,Mexico,48,0.48
Mexico,Portugal,47,0.47
Brazil,Germany,46,0.46
Brazil,Japan,46,0.46
Argentina,Croatia,45,0.45
Argentina,Uruguay,44,0.44
France,Morocco,44,0.44
England,Portugal,42,0.42
England,France,41,0.41
Argentina,Korea Republic,41,0.41
Belgium,Portugal,41,0.41
Argentina,Austria,40,0.4
Belgium,France,40,0.4
Germany,Portugal,40,0.4
Colombia,Ecuador,39,0.39
Argentina,Paraguay,39,0.39
Japan,Portugal,38,0.38
Colombia,Morocco,38,0.38
Brazil,Netherlands,37,0.37
Brazil,England,35,0.35
Belgium,Mexico,35,0.35
France,Germany,34,0.34
Spain,Switzerland,34,0.34
Belgium,Brazil,34,0.34
Ecuador,Morocco,34,0.34
IR Iran,Spain,34,0.34
Colombia,Mexico,34,0.34
Germany,Mexico,33,0.33
Morocco,Portugal,32,0.32
Colombia,Germany,32,0.32
Ecuador,Mexico,32,0.32
Argentina,Norway,32,0.32
Croatia,Spain,30,0.3
France,Netherlands,30,0.3
Belgium,Ecuador,29,0.29
England,Netherlands,29,0.29
Ecuador,Japan,28,0.28
Argentina,Senegal,28,0.28
Belgium,Colombia,28,0.28
Belgium,Morocco,28,0.28
Colombia,England,27,0.27
Spain,Türkiye,27,0.27
England,Morocco,26,0.26
France,Japan,26,0.26
Japan,Morocco,26,0.26
Mexico,Morocco,26,0.26
Belgium,England,25,0.25
Japan,Netherlands,25,0.25
Colombia,Netherlands,25,0.25
England,Germany,25,0.25
Germany,Morocco,24,0.24
Ecuador,Netherlands,24,0.24
Netherlands,Portugal,24,0.24
France,Uruguay,24,0.24
Argentina,Egypt,24,0.24
Argentina,Australia,23,0.23
Japan,Mexico,23,0.23
Brazil,IR Iran,23,0.23
Germany,Netherlands,22,0.22
Portugal,Switzerland,22,0.22
France,Türkiye,21,0.21
Belgium,Netherlands,21,0.21
Algeria,Brazil,21,0.21
Colombia,Japan,20,0.2
England,Japan,20,0.2
Mexico,Netherlands,20,0.2
Brazil,Uruguay,19,0.19
Brazil,Canada,19,0.19
England,Mexico,18,0.18
Paraguay,Spain,18,0.18
Belgium,Germany,18,0.18
Argentina,United States,18,0.18
Colombia,IR Iran,18,0.18
Algeria,Spain,18,0.18
Norway,Spain,17,0.17
Portugal,Türkiye,17,0.17
Canada,Portugal,17,0.17
Belgium,IR Iran,17,0.17
Canada,France,16,0.16
Senegal,Spain,16,0.16
Brazil,Switzerland,16,0.16
Algeria,Portugal,16,0.16
Canada,Ecuador,16,0.16
Morocco,Netherlands,15,0.15
France,IR Iran,14,0.14
France,Senegal,14,0.14
Colombia,Türkiye,14,0.14
Brazil,Türkiye,14,0.14
Mexico,Türkiye,14,0.14
Croatia,Portugal,13,0.13
Algeria,Colombia,13,0.13
Belgium,Japan,13,0.13
France,Switzerland,13,0.13
Portugal,Uruguay,13,0.13
IR Iran,Mexico,12,0.12
Australia,Spain,12,0.12
England,IR Iran,12,0.12
Canada,Colombia,12,0.12
Mexico,Switzerland,12,0.12
Korea Republic,Spain,12,0.12
Croatia,France,12,0.12
Algeria,Ecuador,12,0.12
Austria,France,12,0.12
Korea Republic,Portugal,12,0.12
IR Iran,Portugal,12,0.12
Brazil,Korea Republic,11,0.11
Ecuador,Switzerland,11,0.11
Brazil,Croatia,11,0.11
Belgium,Canada,11,0.11
Canada,Germany,11,0.11
Mexico,Uruguay,11,0.11
Austria,Spain,11,0.11
Germany,Japan,11,0.11
Egypt,Spain,10,0.1
Belgium,Uruguay,10,0.1
Colombia,Uruguay,10,0.1
Canada,Mexico,10,0.1
