ChampionRank,Team,Group,GroupWinnerProbability,GroupRunnerUpProbability,BestThirdQualificationProbability,RoundOf32Probability,RoundOf16Probability,QuarterFinalProbability,SemiFinalProbability,FinalProbability,ChampionProbability,Champion95CILower,Champion95CIUpper,RunnerUpProbability,ThirdPlaceProbability,FourthPlaceProbability,AverageGroupRank,AverageGroupPoints,AverageGroupGoalsFor,AverageGroupGoalsAgainst,AverageGroupGoalDifference
1,Argentina,J,79.36,16.14,3.68,99.18,77.6,64.98,52.31,40.87,30.03,29.131558768613107,30.928441231386895,10.84,8.87,2.57,1.257,7.438,7.7789,1.8583,5.9206
2,Spain,H,76.87,19.59,2.72,99.18,69.41,52.17,40.12,29.2,17.98,17.22731926985208,18.732680730147916,11.22,7.81,3.11,1.2722,7.4707,7.6544,1.729,5.9254
3,Brazil,C,54.54,31.56,9.15,95.25,62.34,42.5,26.71,12.53,6.14,5.669477352655582,6.610522647344419,6.39,8.58,5.6,1.6259,6.3096,6.1092,2.6344,3.4748
4,France,I,58.34,25.71,9.62,93.67,66.17,40.51,24.4,12.16,5.64,5.1878426556341255,6.092157344365874,6.52,6.92,5.32,1.62,6.1985,5.6163,2.5321,3.0842
5,Portugal,K,47.38,33.47,11.27,92.12,67.11,38.73,20.63,11.81,5.45,5.005076762126319,5.894923237873681,6.36,5.07,3.75,1.771,5.8901,5.3434,2.6698,2.6736
6,Colombia,K,41.92,37.69,11.92,91.53,65.18,35.28,17.6,9.5,4.49,4.084114380663715,4.895885619336285,5.01,4.6,3.5,1.8383,5.6913,5.1517,2.7673,2.3844
7,Ecuador,E,48.81,34.25,13.45,96.51,66.35,37.3,21.05,9.15,4.1,3.7113512248829283,4.488648775117072,5.05,6.35,5.55,1.6987,6.2375,6.2461,2.5412,3.7049
8,Mexico,A,69.82,20.75,6.33,96.9,70.76,44.93,21.64,7.62,3.08,2.7413600960075732,3.4186399039924273,4.54,6.83,7.19,1.4178,6.8337,6.0079,1.8729,4.135
9,Morocco,C,36.62,41.14,12.34,90.1,50.93,31.08,16.78,6.8,3.0,2.6656490466590532,3.3343509533409468,3.8,4.89,5.09,1.9166,5.545,5.2187,3.0336,2.1851
10,England,L,58.63,29.49,8.67,96.79,60.47,29.44,15.19,6.77,2.95,2.6183615709843022,3.2816384290156977,3.82,4.52,3.9,1.5536,6.5375,6.1174,2.2275,3.8899
